Characteristic,Overall (n=664),Resorption (n=211),Non-resorption (n=453),P-value,Test
Age,40.89 +/- 12.12,41.27 +/- 11.75,40.72 +/- 12.30,0.579,Welch's t-test
DHI,0.29 +/- 0.04,0.29 +/- 0.05,0.29 +/- 0.04,0.833,Welch's t-test
Initial_volume,1.41 +/- 0.90,1.94 +/- 1.07,1.16 +/- 0.67,<0.001,Welch's t-test
Lower_VB_Posterior_Height_CM,2.24 +/- 0.27,2.29 +/- 0.26,2.22 +/- 0.27,0.002,Welch's t-test
RSI,0.15 +/- 0.08,0.18 +/- 0.09,0.14 +/- 0.07,<0.001,Welch's t-test
SS,31.22 +/- 7.47,30.46 +/- 6.77,31.57 +/- 7.76,0.062,Welch's t-test
Upper_VB_Posterior_Height_CM,2.37 +/- 0.26,2.41 +/- 0.25,2.36 +/- 0.26,0.020,Welch's t-test
Bull_eye,,,,<0.001,Chi-square
    - 1,97 (14.6%),75 (35.5%),22 (4.9%),,
    - 2,54 (8.1%),33 (15.6%),21 (4.6%),,
    - 3,57 (8.6%),20 (9.5%),37 (8.2%),,
Cohort,,,,<0.001,Chi-square
    - Prospective,56 (8.4%),34 (16.1%),22 (4.9%),,
    - Retrospective,608 (91.6%),177 (83.9%),431 (95.1%),,
Gender,,,,0.030,Chi-square
    - Female,313 (47.1%),86 (40.8%),227 (50.1%),,
    - Male,351 (52.9%),125 (59.2%),226 (49.9%),,
Herniated_Level,,,,0.023,Chi-square (expected<5; Fisher not applicable)
    - L1/2,5 (0.8%),2 (0.9%),3 (0.7%),,
    - L2/3,13 (2.0%),9 (4.3%),4 (0.9%),,
    - L3/4,27 (4.1%),8 (3.8%),19 (4.2%),,
    - L4/5,307 (46.2%),86 (40.8%),221 (48.8%),,
    - L5/S1,312 (47.0%),106 (50.2%),206 (45.5%),,
Iwabuchi,,,,<0.001,Chi-square (expected<5; Fisher not applicable)
    - 1,258 (38.9%),106 (50.2%),152 (33.6%),,
    - 2,284 (42.8%),70 (33.2%),214 (47.2%),,
    - 3,57 (8.6%),18 (8.5%),39 (8.6%),,
    - 4,8 (1.2%),6 (2.8%),2 (0.4%),,
    - 5,57 (8.6%),11 (5.2%),46 (10.2%),,
Komori,,,,<0.001,Chi-square
    - 1,433 (65.2%),88 (41.7%),345 (76.2%),,
    - 2,130 (19.6%),45 (21.3%),85 (18.8%),,
    - 3,63 (9.5%),46 (21.8%),17 (3.8%),,
    - 4,38 (5.7%),32 (15.2%),6 (1.3%),,
MSU,,,,<0.001,Chi-square
    - 1,230 (34.6%),48 (22.7%),182 (40.2%),,
    - 2,307 (46.2%),94 (44.5%),213 (47.0%),,
    - 3,127 (19.1%),69 (32.7%),58 (12.8%),,
Modic,,,,0.446,Chi-square (expected<5; Fisher not applicable)
    - 0,508 (76.5%),162 (76.8%),346 (76.4%),,
    - 1,86 (13.0%),23 (10.9%),63 (13.9%),,
    - 2,65 (9.8%),25 (11.8%),40 (8.8%),,
    - 3,5 (0.8%),1 (0.5%),4 (0.9%),,
Pfirrmann,,,,0.574,Chi-square (expected<5; Fisher not applicable)
    - 1,7 (1.1%),1 (0.5%),6 (1.3%),,
    - 2,30 (4.5%),7 (3.3%),23 (5.1%),,
    - 3,399 (60.1%),134 (63.5%),265 (58.5%),,
    - 4,210 (31.6%),63 (29.9%),147 (32.5%),,
    - 5,18 (2.7%),6 (2.8%),12 (2.6%),,
Spinal_canal_stenosis,,,,0.002,Chi-square
    - 0,476 (71.7%),134 (63.5%),342 (75.5%),,
    - 1,188 (28.3%),77 (36.5%),111 (24.5%),,
