,Mean (0),CI Lower (0),CI Upper (0),Mean (1),CI Lower (1),CI Upper (1)
Age,40.759596026490065,39.584657836644595,41.863134657836646,41.280952606635076,39.738388625592414,42.919549763033174
SS,31.585741721854305,30.88738962472406,32.34657836644592,30.450876777251185,29.52091232227488,31.38388625592417
Upper_VB_Posterior_Height_CM,2.356898644812362,2.332127836644592,2.381121550772627,2.4054739952606634,2.3719260071090047,2.437934952606635
Lower_VB_Posterior_Height_CM,2.220412594370861,2.1948188465783662,2.244977152317881,2.288908383886256,2.2520751777251182,2.3247982819905206
Months_of_Review,29.946258278145695,27.460761589403976,32.472682119205295,18.23527014218009,15.625236966824644,21.28080568720379
Initial_volume,1.1598369447891832,1.1008544323399558,1.2245978482064017,1.9406304432227488,1.7969682363744075,2.0840047073459718
RSI,0.1411861737007706,0.1344945344382231,0.14810886551416272,0.18247820168018467,0.1715530570475816,0.19421324337356058
DHI,0.2882767188873719,0.2841686578451293,0.29226631366001804,0.28751109945088965,0.28122204785339194,0.29359954741776334
Pfirrmann,3.301359823399558,3.247185430463576,3.3642384105960264,3.311578199052133,3.2369668246445498,3.3933649289099526
Komori,1.3023112582781458,1.2472406181015452,1.3576158940397351,2.1059194312796206,1.9572274881516587,2.255924170616114
MSU,1.7273730684326711,1.6666666666666667,1.7902869757174393,2.0994881516587673,1.995260663507109,2.199052132701422
