feature,test,association_strength(0-1),p_value,signif
Initial_volume,Kruskal-Wallis,0.4073442070323629,2.2699453206093048e-24,***
Komori,Kruskal-Wallis,0.0,1.9992139652737543e-23,***
MSU,Kruskal-Wallis,0.0,1.0981524656462792e-09,***
RSI,Kruskal-Wallis,0.23859480522140608,4.355550473391878e-09,***
Bull_eye,Chi-square/Fisher,0.3606866633232987,1.3306188990611387e-06,***
Iwabuchi,Chi-square/Fisher,0.20519841531317626,1.2715985074972447e-05,***
Lower_VB_Posterior_Height_CM,Kruskal-Wallis,0.11982656794691184,0.0013309555962625638,**
Spinal_canal_stenosis,Chi-square/Fisher,0.12032181857518101,0.001932096235632411,**
Upper_VB_Posterior_Height_CM,Kruskal-Wallis,0.08854672060332978,0.015859642669003277,*
Herniated_Level,Chi-square/Fisher,0.13060527574462585,0.023131179002759437,*
Gender,Chi-square/Fisher,0.0839915792797848,0.03044044311396135,*
SS,Kruskal-Wallis,0.06906683085267999,0.08517622859294706,
Modic,Chi-square/Fisher,0.0633807706042417,0.44580109219728126,
Age,Kruskal-Wallis,0.02124307254442651,0.5405170821394617,
DHI,Kruskal-Wallis,0.008506502504188353,0.542844739259674,
Pfirrmann,Kruskal-Wallis,0.0,0.9239210049729578,
