,t-statistic,p-value,FDR p-value
Age,-0.5559382900864531,0.5785439201815785,0.7071092357774849
SS,1.8717664997864742,0.06186674114624454,0.08506676907608623
Upper_VB_Posterior_Height_CM,-2.3338149199159317,0.020064127712213567,0.031529343547764176
Lower_VB_Posterior_Height_CM,-3.1361750024007646,0.001832012427946222,0.0033586894512347403
Months_of_Review,5.910149513674934,6.058083013767504e-09,1.5564382504255077e-08
Initial_volume,-9.788205265862764,9.79412658342847e-20,6.554333924957961e-19
RSI,-5.933738920829507,7.074719320115944e-09,1.5564382504255077e-08
DHI,0.2116329104441462,0.8325075536846469,0.8325075536846469
Pfirrmann,-0.24075789446341272,0.8098531280754975,0.8325075536846469
Komori,-9.818206466726119,1.191697077265084e-19,6.554333924957961e-19
MSU,-6.221227053232081,1.3087210753801955e-09,4.798643943060718e-09
