feature,importance
Komori,0.17475480987388253
RSI,0.10260413369037785
Initial_volume,0.09698597666634261
DHI,0.08930240150515122
Lower_VB_Posterior_Height_CM,0.08416466286165593
Upper_VB_Posterior_Height_CM,0.07448875206890444
SS,0.07272390248442842
Age,0.0665108044827341
Iwabuchi_1,0.04857718246059566
Iwabuchi_2,0.030639181197104393
MSU,0.029148838639923468
Pfirrmann,0.026060672479755576
Iwabuchi_5,0.014879314944290673
Gender_Male,0.010292668469559467
Modic_2,0.010157259655520355
Herniated_Level_L4/5,0.009656763124294183
Iwabuchi_3,0.009345166477214475
Gender_Female,0.008645898727679598
Spinal_canal_stenosis_1,0.007964189030747266
Modic_1,0.007518756832157012
Modic_0,0.007409948255493796
Spinal_canal_stenosis_0,0.0067531082648470235
Herniated_Level_L5/S1,0.005472290191098485
Iwabuchi_4,0.004775234248177505
Herniated_Level_L2/3,0.0011680833680639039
Herniated_Level_L3/4,0.0
Modic_3,0.0
