feature,coef_abs_sum,selected
Age,,False
SS,,False
Upper_VB_Posterior_Height_CM,,False
Lower_VB_Posterior_Height_CM,,False
Initial_volume,,False
RSI,,False
DHI,,False
Pfirrmann,,False
Komori,,False
MSU,,False
Gender_Female,,False
Gender_Male,,False
Herniated_Level_L2/3,,False
Herniated_Level_L3/4,,False
Herniated_Level_L4/5,,False
Herniated_Level_L5/S1,,False
Iwabuchi_1,,False
Iwabuchi_2,,False
Iwabuchi_3,,False
Iwabuchi_4,,False
Iwabuchi_5,,False
Modic_0,,False
Modic_1,,False
Modic_2,,False
Modic_3,,False
Spinal_canal_stenosis_0,,False
Spinal_canal_stenosis_1,,False
