Model,Family,Status,OOF_RankingThresholdLabel,OOF_RankingThreshold,OOF_Sensitivity,OOF_Specificity,OOF_Accuracy,OOF_PPV,OOF_NPV,OOF_F1,OOF_Youden,OOF_AUC,OOF_AUPRC,OOF_TN,OOF_FP,OOF_FN,OOF_TP,External_Sensitivity,External_Specificity,External_Accuracy,External_PPV,External_NPV,External_F1,External_Youden,External_AUC,External_AUPRC,External_TN,External_FP,External_FN,External_TP,OOF_Rank_Sensitivity,OOF_Rank_Specificity,OOF_Rank_Accuracy,OOF_Rank_PPV,OOF_Rank_NPV,OOF_Rank_F1,OOF_Rank_Youden,OOF_Rank_AUC,OOF_Rank_AUPRC,OOF_Rank_TN,OOF_Rank_FP,OOF_Rank_FN,OOF_Rank_TP,CompositeScore,Champion
LDA+TabPFN Voting,ensemble_voting,completed,Youden,0.46903656667475935,0.4971751412429379,0.8538283062645011,0.75,0.5827814569536424,0.8052516411378556,0.5365853658536586,0.35100344750743906,0.7267293247866609,0.5888249618634074,368,63,89,88,0.9117647058823529,0.7727272727272727,0.8571428571428571,0.8611111111111112,0.85,0.8857142857142857,0.6844919786096257,0.9144385026737968,0.9435175520880611,17,5,3,31,0.536723163841808,0.8468677494199536,0.756578947368421,0.5900621118012422,0.8165548098434005,0.5621301775147929,0.38359091326176165,0.7267293247866609,0.5888249618634074,365,66,82,95,0.6715056526042666,True
Soft Voting,ensemble_voting,completed,Youden,0.36367999359429604,0.2711864406779661,0.962877030162413,0.7615131578947368,0.75,0.7628676470588235,0.3983402489626556,0.23406347084037904,0.7227705900087826,0.5809817972867746,415,16,129,48,0.5588235294117647,1.0,0.7321428571428571,1.0,0.5945945945945946,0.7169811320754716,0.5588235294117647,0.9304812834224598,0.9548838308281526,22,0,15,19,0.5028248587570622,0.8631090487238979,0.7582236842105263,0.6013513513513513,0.808695652173913,0.5476923076923077,0.3659339074809602,0.7227705900087826,0.5809817972867746,372,59,88,89,0.6679468287615846,False
Random Forest,traditional,completed,Youden,0.3457574183776347,0.2542372881355932,0.9814385150812065,0.7697368421052632,0.8490566037735849,0.7621621621621621,0.391304347826087,0.23567580321679982,0.719742551155505,0.586951604539893,423,8,132,45,0.5294117647058824,1.0,0.7142857142857143,1.0,0.5789473684210527,0.6923076923076923,0.5294117647058822,0.9251336898395722,0.9520036200213345,22,0,16,18,0.5254237288135594,0.8491879350348028,0.7549342105263158,0.5886075949367089,0.8133333333333334,0.5552238805970149,0.3746116638483623,0.719742551155505,0.586951604539893,366,65,84,93,0.667082599429843,False
Logistic Regression,traditional,completed,Youden,0.31573962039206865,0.22033898305084745,0.9814385150812065,0.7598684210526315,0.8297872340425532,0.7540106951871658,0.3482142857142857,0.20177749813205392,0.727188118552309,0.595441758727914,423,8,138,39,0.5588235294117647,0.9545454545454546,0.7142857142857143,0.95,0.5833333333333334,0.7037037037037037,0.5133689839572193,0.9131016042780749,0.9394870041390196,21,1,15,19,0.5932203389830508,0.7958236658932715,0.7368421052631579,0.5440414507772021,0.8265060240963855,0.5675675675675675,0.3890440048763222,0.727188118552309,0.595441758727914,343,88,72,105,0.664211369837933,False
LDA,traditional,completed,Youden,0.3932620512959993,0.5536723163841808,0.8167053364269141,0.7401315789473685,0.5536723163841808,0.8167053364269141,0.5536723163841808,0.3703776528110949,0.7297966888198515,0.5941259733466374,352,79,79,98,0.9117647058823529,0.7727272727272727,0.8571428571428571,0.8611111111111112,0.85,0.8857142857142857,0.6844919786096257,0.8983957219251336,0.9302834184927604,17,5,3,31,0.5819209039548022,0.7958236658932715,0.7335526315789473,0.5392670157068062,0.8225419664268585,0.5597826086956522,0.3777445698480737,0.7297966888198515,0.5941259733466374,343,88,74,103,0.6616727859780801,False
TabPFN,tabpfn,completed,Youden,0.3068098723888397,0.3559322033898305,0.9280742459396751,0.7615131578947368,0.6702127659574468,0.7782101167315175,0.46494464944649444,0.2840064493295056,0.718287519498735,0.5763330649674862,400,31,114,63,0.5882352941176471,0.9545454545454546,0.7321428571428571,0.9523809523809523,0.6,0.7272727272727273,0.5427807486631018,0.929144385026738,0.9521722079904338,21,1,14,20,0.5423728813559322,0.8213457076566125,0.7401315789473685,0.5549132947976878,0.8137931034482758,0.5485714285714286,0.3637185890125447,0.718287519498735,0.5763330649674862,354,77,81,96,0.6568387731578774,False
CatBoost,traditional,completed,Youden,0.33453280243636,0.327683615819209,0.9280742459396751,0.7532894736842105,0.651685393258427,0.7707129094412332,0.43609022556390975,0.25575786175888426,0.7210402820926238,0.5626177282446634,400,31,119,58,0.6470588235294118,0.9545454545454546,0.7678571428571429,0.9565217391304348,0.6363636363636364,0.7719298245614035,0.6016042780748663,0.9104278074866311,0.9446032341486112,21,1,12,22,0.5706214689265536,0.7981438515081206,0.7319078947368421,0.5372340425531915,0.819047619047619,0.5534246575342465,0.36876532043467414,0.7210402820926238,0.5626177282446634,344,87,76,101,0.6537234202292641,False
SVM,traditional,completed,Youden,0.3330298966658266,0.3107344632768362,0.9535962877030162,0.7664473684210527,0.7333333333333333,0.7711069418386491,0.4365079365079365,0.26433075097985226,0.7027147482533065,0.5710886680855898,411,20,122,55,0.5882352941176471,0.9545454545454546,0.7321428571428571,0.9523809523809523,0.6,0.7272727272727273,0.5427807486631018,0.9184491978609626,0.9467121016995037,21,1,14,20,0.5480225988700564,0.8213457076566125,0.7417763157894737,0.5574712643678161,0.815668202764977,0.5527065527065527,0.3693683065266691,0.7027147482533065,0.5710886680855898,354,77,80,97,0.6532871675722096,False
AdaBoost,traditional,completed,Youden,0.316135336625313,0.24858757062146894,0.9651972157772621,0.756578947368421,0.7457627118644068,0.7577413479052824,0.3728813559322034,0.213784786398731,0.7258051830587124,0.566003731689412,416,15,133,44,0.5588235294117647,0.9545454545454546,0.7142857142857143,0.95,0.5833333333333334,0.7037037037037037,0.5133689839572193,0.8917112299465241,0.9328601705686668,21,1,15,19,0.6045197740112994,0.765661252900232,0.71875,0.5144230769230769,0.825,0.5558441558441558,0.3701810269115313,0.7258051830587124,0.566003731689412,330,101,70,107,0.6509000218911734,False
XGBoost,traditional,completed,Youden,0.2899875044822693,0.011299435028248588,0.9976798143851509,0.7105263157894737,0.6666666666666666,0.7107438016528925,0.022222222222222223,0.008979249413399337,0.7186021209380367,0.5678492958160255,430,1,175,2,0.14705882352941177,1.0,0.48214285714285715,1.0,0.43137254901960786,0.2564102564102564,0.1470588235294117,0.9064171122994653,0.9438762840198598,22,0,29,5,0.615819209039548,0.7354988399071926,0.7006578947368421,0.48878923766816146,0.8233766233766234,0.545,0.35131804894674046,0.7186021209380367,0.5678492958160255,317,114,68,109,0.6396566008506084,False
