feature,mean_abs_shap
Initial_volume,0.1653715605895369
Komori,0.13585841973697074
RSI,0.0627858262506352
Bull_eye,0.03592796013595719
Lower_VB_Posterior_Height_CM,0.0260560826612736
MSU,0.022431835204955536
Upper_VB_Posterior_Height_CM,0.020264048796532888
Spinal_canal_stenosis,0.01348549812465157
Iwabuchi,0.012408055658389809
SS,0.0056248865320777585
Gender,0.005571698206293924
Age,0.005455391870929618
DHI,0.0022204049711413137
Herniated_Level,0.0021457918694580387
Modic,0.0007116739639343085
Pfirrmann,0.00036435293348814087
