SampleIndex,TrueLabel,BullEye_Original,Proba_Baseline,Proba_Masked,Proba_Diff
0,1,2.0,0.336987,0.336987,0.0
1,0,3.0,0.600431,0.600431,0.0
2,0,2.0,0.239586,0.166679,-0.072907
3,0,3.0,0.294419,0.294419,0.0
4,0,3.0,0.651551,0.702939,0.051388
5,0,3.0,0.063032,0.074659,0.011627
6,0,3.0,0.261572,0.261572,0.0
7,0,3.0,0.037352,0.037352,0.0
8,1,1.0,0.558402,0.558402,0.0
9,1,1.0,0.679634,0.679634,0.0
10,1,3.0,0.11602,0.11602,0.0
11,1,1.0,0.84496,0.84496,0.0
12,1,2.0,0.679999,0.679999,0.0
13,1,1.0,0.946625,0.946625,0.0
14,0,,0.051101,0.051101,0.0
15,1,,0.560283,0.560283,0.0
16,1,,0.709493,0.709493,0.0
17,0,,0.657596,0.657596,0.0
18,0,3.0,0.182026,0.182026,0.0
19,0,,0.05215,0.05215,0.0
20,1,3.0,0.531959,0.531959,0.0
21,1,3.0,0.736609,0.736609,0.0
22,0,,0.116879,0.116879,0.0
23,0,,0.109618,0.109618,0.0
24,1,1.0,0.929982,0.929982,0.0
25,0,2.0,0.70906,0.70906,0.0
26,1,2.0,0.852943,0.881038,0.028095
27,1,1.0,0.787053,0.787053,0.0
28,1,3.0,0.252909,0.252909,0.0
29,1,1.0,0.831495,0.831495,0.0
30,1,1.0,0.944339,0.944339,0.0
31,1,1.0,0.912677,0.912677,0.0
32,0,3.0,0.107812,0.118969,0.011157
33,1,3.0,0.700986,0.787349,0.086363
34,0,3.0,0.068756,0.068756,0.0
35,1,2.0,0.597874,0.674831,0.076957
36,0,3.0,0.075991,0.075991,0.0
37,0,3.0,0.10245,0.10245,0.0
38,1,1.0,0.874991,0.874991,0.0
39,1,1.0,0.936088,0.936088,0.0
40,1,1.0,0.952452,0.952452,0.0
41,1,1.0,0.919239,0.919239,0.0
42,0,2.0,0.225802,0.225802,0.0
43,1,1.0,0.861635,0.861635,0.0
44,1,1.0,0.809833,0.809833,0.0
45,0,3.0,0.358159,0.358159,0.0
46,1,1.0,0.945264,0.945264,0.0
47,0,3.0,0.059136,0.059136,0.0
48,1,1.0,0.92516,0.92516,0.0
49,1,1.0,0.907614,0.907614,0.0
50,1,2.0,0.744003,0.725776,-0.018228
51,0,1.0,0.839712,0.839712,0.0
52,1,1.0,0.964427,0.964427,0.0
53,1,1.0,0.643814,0.643814,0.0
54,1,,0.902307,0.902307,0.0
55,1,,0.661569,0.661569,0.0
