Variable,Type,BullEye_Present_Median,BullEye_Present_IQR,BullEye_Missing_Median,BullEye_Missing_IQR,p_value,Significant,BullEye_Present_Distribution,BullEye_Missing_Distribution,BullEye_Present_Rate,BullEye_Missing_Rate
Age,continuous,36.0,30.000-42.000,41.0,33.000-52.000,0.0,True,,,,
SS,continuous,29.0,24.000-34.000,32.5,27.000-37.000,0.0,True,,,,
Upper_VB_Posterior_Height_CM,continuous,2.412,2.233-2.603,2.346,2.163-2.503,0.0017,True,,,,
Lower_VB_Posterior_Height_CM,continuous,2.262,2.104-2.432,2.202,2.046-2.391,0.0135,True,,,,
Initial_volume,continuous,1.909,1.316-2.556,0.951,0.694-1.306,0.0,True,,,,
RSI,continuous,0.181,0.119-0.245,0.136,0.083-0.188,0.0,True,,,,
DHI,continuous,0.291,0.262-0.317,0.288,0.256-0.313,0.3031,False,,,,
Gender,categorical,,,,,0.0032,True,"{'Male': 99, 'Female': 62}","{'Female': 234, 'Male': 213}",,
Herniated_Level,categorical,,,,,0.0008,True,"{'L5/S1': 93, 'L4/5': 59, 'L2/3': 6, 'L3/4': 3}","{'L4/5': 227, 'L5/S1': 188, 'L3/4': 22, 'L2/3': 6, 'L1/2': 4}",,
Pfirrmann,categorical,,,,,0.0058,True,"{3: 111, 4: 44, 1: 3, 2: 2, 5: 1}","{3: 251, 4: 151, 2: 24, 5: 17, 1: 4}",,
Iwabuchi,categorical,,,,,0.003,True,"{1: 76, 2: 52, 3: 15, 5: 14, 4: 4}","{2: 216, 1: 153, 5: 41, 3: 34, 4: 3}",,
Modic,categorical,,,,,0.011,True,"{0: 114, 2: 26, 1: 20, 3: 1}","{0: 349, 1: 62, 2: 32, 3: 4}",,
Komori,categorical,,,,,0.0,True,"{1: 71, 2: 38, 3: 28, 4: 24}","{1: 338, 2: 81, 3: 21, 4: 7}",,
MSU,categorical,,,,,0.0,True,"{2: 73, 3: 66, 1: 22}","{2: 204, 1: 197, 3: 46}",,
Spinal_canal_stenosis,categorical,,,,,0.0,True,"{0: 89, 1: 72}","{0: 353, 1: 94}",,
Reabsorption,target,,,,,0.0,True,,,0.6087,0.1767
